start,end,Progress,duration_sec,Finished,recorded_date,Response_ID,subfield,graduate_yrs,postdoc_yrs,career_teaching,career_R2_R3,career_R1,career_govt,career_industry_datascience,career_communication,career_NGO,career_unsure,publish_before_grad,firstauthor_pubs,coauthor_pubs,pub_wo_PI,lab_feedback,lab_feedback_helped,lab_collab,How is your advisor/PI involved in your writing? (Check all that apply),PI_revisions,hrs_wk_writing,writing_tracking,plan_writing,where_write,Where do you usually write (pre-COVID)? (Check all that apply) - Other (please specify) - Text,writing_tracking,writing_tracking_other,writing_support_group,no_writing_support_group,type_writing_support_group,How did your perspective on writing change through participating in a writing group?,Goal setting,Giving and/or receiving reviews,Collaboration,Camaraderie,Technical writing skills,Less difficulty starting a writing project,Time management,"Overcoming ""perfectionism paralysis""",Overcoming writing anxiety,Overcoming imposter syndrome,Writing quality,Writing output,What are some of the challenges you face with writing (pre-COVID-19)? (Check all that apply),COVID_impact_writing,Has the pandemic impacted the amount of time you have for writing?,Has the pandemic affected your writing productivity?,Has the pandemic impacted your motivation to write?,Has the pandemic affected your participation in writing support groups?,science_writing_open,writing_word,review_open,review_word,US_Canadian_training,gender_identity,first_language_english,first_language_text,first_gen,BIPOC,condition,open_answer,gift_card
4/20/21 17:45,4/20/21 17:56,100,638,TRUE,4/20/21 17:56,R_2uKBbPYoBABDcZP,Forest Ecology ,5,,9,6,2,9,8,9,10,,No,,6,No,Yes,The feedback has helped,No,"Planning (generating ideas),Drafting or outlining,Revising with many suggestions and comments,Revising with minor comments",,0,I set aside large blocks of time before deadlines,0,"Home (off-campus residence or dormitory),University provided office or lab space,Coffee shops/restaurants",,"Checking in with writing accountability/support group,Checking in with advisor or mentor",,Yes,,Peer group,Neutral/no change,Improved,,,Improved,,Improved,,Improved,Improved,Improved,,,"I have trouble fitting writing into my schedule,I do not receive adequate feedback on my writing,My perfectionism with writing hinders my progress,I get easily distracted whenever I try to write",No,,,,,daunting,negative,anxiety,negative,Yes,Female,Yes,,No,No,No,"My writing definitely improved with writing groups and breaking up the project into smaller chunks, but I can never seem to make the time everyday to do it... even though I know I should",Yes
3/22/21 7:44,3/22/21 7:48,100,253,TRUE,3/22/21 7:48,R_2cvnXoaCf7DOiXY,Dryland ecohydrology,4,,4,6,5,10,9,8,7,,No,1,4,No,No,,No,Revising with minor comments,1,6,"I set a specific amount of time each week (e.g., 15 minutes per day, 2 hours on Tuesday/Thursday),I set aside large blocks of time (e.g., during weekends or breaks),I set aside large blocks of time before deadlines",1,"Home (off-campus residence or dormitory),University provided office or lab space,On-campus spaces (e.g. graduate student centers, affinity group centers)",,"Electronic spreadsheets,Checking in with writing accountability/support group",,Yes,,"Peer group,Mentoring program,Writing retreats, study halls, etc.",I like writing more,Improved,Improved,Improved,Improved,Improved,Improved,Improved,Improved,Improved,Improved,Improved,Improved,"I find it difficult to start a new writing project,I have too many other obligations,I do not receive adequate feedback on my writing",Yes,I have more time for writing,I am more productive,Neutral/no change,I participate much more,Evolving,neutral,Anxiety,negative,Yes,Female,Yes,,No,No,No,COVID has forced me to develop a better writing habit,Yes
4/5/21 17:54,4/5/21 18:02,100,466,TRUE,4/5/21 18:02,R_3nwsUNz2LsJuXut,Physiological ecology,4,,8,6,4,5,3,10,7,8,No,1,0,No,Yes,The feedback has helped,No,"Planning (generating ideas),Revising with many suggestions and comments",5+,0,I set aside large blocks of time before deadlines,0,"Home (off-campus residence or dormitory),University provided office or lab space,Coffee shops/restaurants,I would like to write at an office, but my university does not provide me with office space",,I do not track my writing progress,,No,"I had no interest in joining a writing group,I had ample writing support within my immediate graduate group (e.g. advisor, laboratory)",,,,,,,,,,,,,,,"I find it difficult to start a new writing project,I have trouble fitting writing into my schedule,I have too many other obligations,My perfectionism with writing hinders my progress,I get easily distracted whenever I try to write",Yes,I have more time for writing,I am much less productive,I am much less motivated to write,Neutral/no change,"Boring, anxiety-inducing",negative,"Anxiety-inducing, drawn-out",negative,Yes,Female,Yes,,No,No,Yes,,Yes
4/7/21 9:32,4/7/21 9:39,100,409,TRUE,4/7/21 9:39,R_Xofs9wpFaB4f9FT,renewable energy system modeling and assessment,8,,10,10,10,10,8,10,10,,No,3,2,No,Yes,The feedback has helped,Yes,"Planning (generating ideas),Drafting or outlining,Revising with many suggestions and comments",5+,15,"I set aside large blocks of time before deadlines,I do not track or schedule my writing time",0,"University provided office or lab space,On-campus spaces (e.g. graduate student centers, affinity group centers)",,Checking in with advisor or mentor,,Yes,,"Writing retreats, study halls, etc.",I like writing more,Improved,No Change,No Change,No Change,No Change,Improved,Improved,Improved,Improved,Improved,Improved,Improved,"My perfectionism with writing hinders my progress,I get easily distracted whenever I try to write",Yes,I have more time for writing,I am less productive,I am less motivated to write,I participate much more,anxiety,negative,anxious,negative,Yes,Male,No,,Yes,Yes,No,,Yes
4/9/21 13:22,4/9/21 13:26,100,272,TRUE,4/9/21 13:26,R_11dRvMZAYPluSNi,Evolutionary Developmental Biology,5,,4,7,9,9,4,7,7,,No,,,No,Yes,The feedback has helped,Yes,Revising with minor comments,1,2,I do not track or schedule my writing time,0,"Home (off-campus residence or dormitory),University provided office or lab space",,I do not track my writing progress,,No,I had no interest in joining a writing group,,,,,,,,,,,,,,,"I find it difficult to start a new writing project,I have trouble fitting writing into my schedule,I have too many other obligations,My perfectionism with writing hinders my progress",Yes,Neutral/no change,I am less productive,I am less motivated to write,,conflicted,negative,Anxious,negative,Yes,Male,Yes,,No,No,,,Yes
4/8/21 7:51,4/8/21 8:16,100,1480,TRUE,4/8/21 8:16,R_2zbQZzCq0mJGtIl,sustainable agriculture,2,,6,5,4,3,7,1,2,8,No,0,1,Yes,Yes,The feedback has helped,Yes,"Planning (generating ideas),Revising with many suggestions and comments",5-Mar,5,I set aside large blocks of time before deadlines,0,"Home (off-campus residence or dormitory),University provided office or lab space,Coffee shops/restaurants",,"Checking in with writing accountability/support group,Checking in with advisor or mentor",,Yes,,"Formal writing workshop,Peer group",Neutral/no change,Improved,,,,Improved,Improved,Improved,Improved,No Change,No Change,Improved,Improved,"I find it difficult to start a new writing project,My perfectionism with writing hinders my progress,I get easily distracted whenever I try to write",Yes,I have more time for writing,Neutral/no change,Neutral/no change,Neutral/no change,curiosity,positive,anxious,negative,Yes,Female,Yes,,No,No,No,"It was really difficult to come up with one word that 'described my feelings about scientific writing.' I would add painstaking, iterative, but also illuminating, because I often generate new ideas and connections in the writing process. And it's satisfying when you know you've done your best to communicate your research findings and hope that they can be used by someone else. But it's also daunting, no doubt about it.",Yes
4/16/21 15:53,4/16/21 16:02,100,549,TRUE,4/16/21 16:02,R_2VsZt4I0SAAOIo3,Ecomorphology,6,,10,8,6,5,5,10,5,,No,1,0,No,Yes,The feedback has helped,Yes,"Drafting or outlining,Revising with minor comments",3-Jan,10,"I set a specific amount of time each week (e.g., 15 minutes per day, 2 hours on Tuesday/Thursday),I set aside large blocks of time before deadlines",1,"Home (off-campus residence or dormitory),University provided office or lab space",,"Physical notebook,Checking in with advisor or mentor",,No,"I had no interest in joining a writing group,I had ample writing support within my immediate graduate group (e.g. advisor, laboratory)",,,,,,,,,,,,,,,"I find it difficult to start a new writing project,My perfectionism with writing hinders my progress,I get easily distracted whenever I try to write",Yes,I have more time for writing,I am more productive,I am much less motivated to write,,Dread,negative,Anxious,negative,Yes,,Yes,,Yes,No,Yes,,Yes
4/5/21 11:55,4/5/21 11:59,100,204,TRUE,4/5/21 11:59,R_1OE0ALNhJ3j3KNB,Soil Ecology ,4,,6,7,6,8,5,8,8,,No,2,0,Yes,No,,No,"Planning (generating ideas),Revising with minor comments",3-Jan,6,I set aside specific days each week,1,"Home (off-campus residence or dormitory),University provided office or lab space,Coffee shops/restaurants",,Electronic spreadsheets,,No,I could not find a group to join,,,,,,,,,,,,,,,"I find it difficult to start a new writing project,I have trouble fitting writing into my schedule,I do not receive adequate feedback on my writing,My perfectionism with writing hinders my progress,I get easily distracted whenever I try to write",Yes,I have more time for writing,I am less productive,I am less motivated to write,I participate less,exhausting,negative,anxious ,negative,Yes,Female,Yes,,No,No,No,,Yes
4/6/21 6:11,4/6/21 6:18,98,402,FALSE,4/13/21 6:18,R_3LYKwG8sd8Fzkvc,limnology,5,,10,10,5,10,2,8,10,,No,2,15,No,Yes,The feedback has helped,Yes,"Planning (generating ideas),Revising with many suggestions and comments",5-Mar,20,"I set aside specific days each week,I set aside large blocks of time (e.g., during weekends or breaks),I set aside large blocks of time before deadlines",1,"Home (off-campus residence or dormitory),On-campus spaces (e.g. graduate student centers, affinity group centers),Coffee shops/restaurants",,Checking in with advisor or mentor,,No,"I had no interest in joining a writing group,I had ample writing support within my immediate graduate group (e.g. advisor, laboratory)",,,,,,,,,,,,,,,"I have trouble fitting writing into my schedule,I have too many other obligations",Yes,I have more time for writing,I am more productive,Neutral/no change,Neutral/no change,iterative,neutral,arbitrary,negative,Yes,Female,Yes,,No,No,No,,
4/21/21 9:24,4/21/21 9:32,100,457,TRUE,4/21/21 9:32,R_3m93A3YkuxqQ4XT,Toxicology/microbiology,3,,6,10,10,10,9,7,8,,No,0,1,No,Yes,The feedback has helped,No,"Planning (generating ideas),Revising with many suggestions and comments,Revising with minor comments",5+,10,"I set aside specific days each week,I set aside large blocks of time (e.g., during weekends or breaks),I set aside large blocks of time before deadlines",1,"Home (off-campus residence or dormitory),University provided office or lab space",,"Physical notebook,Checking in with advisor or mentor,Other (please specify)",Time management app.,No,"I had ample writing support within my immediate graduate group (e.g. advisor, laboratory)",,,,,,,,,,,,,,,I find it difficult to start a new writing project,No,,,,,Important,positive,Arduous ,negative,Yes,Female,Yes,,No,No,No,I have extensive writing/communication experience from my journalism and public communications degree and working at a newspaper and then running a newspaper. Overall I feel scientists need more training like I had to be better writers and communicators,Yes
3/23/21 7:05,3/23/21 7:16,100,622,TRUE,3/23/21 7:16,R_33mw6b8n94F87CG,Evolutionary ecology,9,1,2,7,8,3,3,7,8,,No,3,5,No,Yes,The feedback has helped,Yes,"Planning (generating ideas),Drafting or outlining,Writing sections of manuscript,Revising with many suggestions and comments,Revising with minor comments",3-Jan,25,I set aside large blocks of time before deadlines,0,University provided office or lab space,,Physical notebook,,No,I did not know writing support groups existed,,,,,,,,,,,,,,,"I find it difficult to start a new writing project,My perfectionism with writing hinders my progress,I get easily distracted whenever I try to write",Yes,Neutral/no change,I am much less productive,I am much less motivated to write,,challenging,negative,beneficial,positive,Yes,Female,Yes,,No,No,No,,No
3/30/21 7:51,3/30/21 7:59,100,480,TRUE,3/30/21 7:59,R_3NEbjIWTY0tPwzd,Invasion Ecology,3,,4,6,5,5,6,9,9,,No,1,1,No,Yes,The feedback has helped,Yes,"Planning (generating ideas),Drafting or outlining,Writing sections of manuscript,Revising with many suggestions and comments",5+,5,I set aside large blocks of time before deadlines,0,"Home (off-campus residence or dormitory),University provided office or lab space,Coffee shops/restaurants",,Checking in with advisor or mentor,,Yes,,Peer group,Neutral/no change,No Change,Improved,,Improved,No Change,No Change,No Change,No Change,No Change,Improved,Improved,No Change,"I find it difficult to start a new writing project,I have trouble fitting writing into my schedule,My perfectionism with writing hinders my progress,I get easily distracted whenever I try to write",Yes,Neutral/no change,I am less productive,I am less motivated to write,Neutral/no change,Tedious,negative,Beneficial,positive,Yes,Female,Yes,,No,No,No,,Yes
3/23/21 9:00,3/23/21 10:43,100,6153,TRUE,3/23/21 10:43,R_1cScRsIZLr76wyd,Ecology,6,1,1,1,4,9,9,0,10,0,No,2,3,No,Yes,The feedback has not helped,Yes,"Planning (generating ideas),Writing sections of manuscript,Revising with many suggestions and comments,Revising with minor comments",5+,20,I do not track or schedule my writing time,0,"Home (off-campus residence or dormitory),University provided office or lab space,Coffee shops/restaurants",,Checking in with advisor or mentor,,Yes,,"Writing retreats, study halls, etc.",Neutral/no change,No Change,No Change,,No Change,No Change,No Change,No Change,Improved,Improved,No Change,No Change,No Change,"My perfectionism with writing hinders my progress,I get easily distracted whenever I try to write",No,,,,,apathetic,negative,biased,negative,Yes,Female,Yes,,No,No,No,,Yes
4/7/21 8:28,4/16/21 15:50,100,804112,TRUE,4/16/21 15:50,R_wZOEJvCvCaZCz6h,Plant Biology,4,,8,10,9,7,2,6,1,,No,,,No,Yes,The feedback has helped,Yes,"Planning (generating ideas),Drafting or outlining,Writing sections of manuscript,Revising with many suggestions and comments,Revising with minor comments",3-Jan,10,"I set aside large blocks of time (e.g., during weekends or breaks),I set aside large blocks of time before deadlines",0,"Home (off-campus residence or dormitory),University provided office or lab space",,Other (please specify),making to-do list,Yes,,"Formal writing workshop,Peer group",I like writing more,Improved,Improved,Improved,Improved,Improved,Improved,Improved,Improved,Improved,Improved,Improved,Improved,,Yes,I have less time for writing,I am less productive,I am less motivated to write,I participate less,fine,neutral,biased,negative,Yes,Female,Yes,,No,Yes,Yes,They have been fine. Covid has hindered publishing my masters thesis work. ,Yes
4/8/21 8:25,4/8/21 22:35,100,50982,TRUE,4/8/21 22:35,R_1Lj5YRMhgnQ3hx8,Biogeochemistry,6,,4,4,10,10,10,4,6,0,Yes,2,5,No,Yes,The feedback has helped,No,Revising with minor comments,1,1,"I set aside large blocks of time before deadlines,I do not track or schedule my writing time",0,"Home (off-campus residence or dormitory),University provided office or lab space,On-campus spaces (e.g. graduate student centers, affinity group centers),University or public libraries,Coffee shops/restaurants",,I do not track my writing progress,,Yes,,"Formal writing course,Formal writing workshop",I like writing more,Improved,Improved,Improved,No Change,Improved,Improved,No Change,No Change,No Change,No Change,Improved,Improved,"I have trouble fitting writing into my schedule,I have too many other obligations",No,,,,,Sculpturing,positive,Biased,negative,Yes,Female,No,,,,No,,Yes
3/15/21 10:55,3/15/21 11:08,100,730,TRUE,3/15/21 11:08,R_1ret2HrZyoR25xi,Ecophysiology,7,2,7.1,8.6,10,5.7,4.3,4.3,NA,NA,No,3,9,No,No,,Yes,"Revising with many suggestions and comments,Revising with minor comments",5-Mar,2,I do not track or schedule my writing time,0,"University provided office or lab space,Coffee shops/restaurants",,I do not track my writing progress,,No,I had no interest in joining a writing group,,,,,,,,,,,,,,,I get easily distracted whenever I try to write,No,,,,,tedious,negative,biased,negative,Yes,Male,No,,No,No,Yes,Self-taught using books on scientific writing in plain English (author: Anne Green) ,No
3/23/21 12:42,3/23/21 12:49,100,388,TRUE,3/23/21 12:49,R_A5qrSv2ntF2G7g5,Botany,6,3,7,8,7,5,5,5,1,,No,4,2,No,Yes,The feedback has helped,Yes,"Planning (generating ideas),Drafting or outlining,Writing sections of manuscript,Revising with many suggestions and comments",5-Mar,6,"I set aside large blocks of time (e.g., during weekends or breaks),I do not track or schedule my writing time",0,"Home (off-campus residence or dormitory),University provided office or lab space",,Checking in with advisor or mentor,,No,I did not know writing support groups existed,,,,,,,,,,,,,,,"I find it difficult to start a new writing project,I do not receive adequate feedback on my writing,My perfectionism with writing hinders my progress",No,,,,,Tiring ,negative,Biased,negative,Yes,Male,Yes,,No,No,No,,No
3/23/21 0:43,3/23/21 0:53,100,622,TRUE,3/23/21 0:53,R_TekUTOFjGlejxOF,Conservation,10,4,8,10,9,5,0,3,7,,Yes,9,20,Yes,No,,Yes,"Planning (generating ideas),Drafting or outlining,Revising with many suggestions and comments",5-Mar,8,I set aside specific days each week,1,"Home (off-campus residence or dormitory),University provided office or lab space",,I do not track my writing progress,,Yes,,"Formal writing course,Peer group,Writing retreats, study halls, etc.",I like writing more,Improved,Improved,No Change,No Change,Improved,Improved,No Change,No Change,Improved,,Improved,No Change,"I find it difficult to start a new writing project,I have trouble fitting writing into my schedule,I have too many other obligations,I get easily distracted whenever I try to write",Yes,I have much more time for writing,I am more productive,I am more motivated to write,Neutral/no change,Long,negative,Blackbox,negative,No,Male,No,,No,Yes,No,,Yes
3/23/21 9:29,3/23/21 9:36,100,387,TRUE,3/23/21 9:36,R_2YS6aWwpbay2yAk,Ecology,4,0,7,7,6,10,6,7,9,,No,1,1,No,No,,No,Revising with many suggestions and comments,5+,12,I set aside specific days each week,1,University provided office or lab space,,"Checking in with writing accountability/support group,Checking in with advisor or mentor",,Yes,,"Peer group,Writing retreats, study halls, etc.",Neutral/no change,Improved,No Change,No Change,Improved,No Change,No Change,No Change,Worsened,No Change,Worsened,No Change,Improved,"I have too many other obligations,My perfectionism with writing hinders my progress",No,,,,,excessive,negative,bloated,negative,Yes,Female,Yes,,Yes,No,No,I used to enjoy writing. Now I loathe it.,Yes
4/16/21 9:37,4/16/21 9:43,100,357,TRUE,4/16/21 9:43,R_VVfqH0gXwqklnhv,Ocean/Coastal Ecology,1,,0,1,1,10,10,10,10,,No,0,1,No,Yes,,Yes,Revising with many suggestions and comments,5+,4,"I set aside large blocks of time (e.g., during weekends or breaks)",0,Home (off-campus residence or dormitory),,Other (please specify),By Myself,No,"I had ample writing support within my immediate graduate group (e.g. advisor, laboratory)",,,,,,,,,,,,,,,"I find it difficult to start a new writing project,I get easily distracted whenever I try to write",Yes,I have much less time for writing,I am much less productive,I am much less motivated to write,Neutral/no change,Barf,negative,Broken,negative,Yes,Female,Yes,,Yes,Yes,No,,No
2/26/21 9:29,2/26/21 9:37,100,454,TRUE,2/26/21 9:37,R_yL4RdC4bjB5xttf,Ecology,5,,7.1,8.6,10,5.7,1.4,2.9,NA,4.3,Yes,3,3,Yes,Yes,The feedback has helped,Yes,"Planning (generating ideas),Revising with many suggestions and comments",3-Jan,4,I do not track or schedule my writing time,0,"University provided office or lab space,University or public libraries,Coffee shops/restaurants",,"Electronic spreadsheets,Physical notebook,Checking in with advisor or mentor",,No,"I had no interest in joining a writing group,I had ample writing support within my immediate graduate group (e.g. advisor, laboratory)",,,,,,,,,,,,,,,"My perfectionism with writing hinders my progress,I get easily distracted whenever I try to write",Yes,I have more time for writing,I am less productive,I am much less motivated to write,,mixed,neutral,broken,negative,Yes,Female,Yes,,No,No,No,Harsh and unnecessary peer review comments have delayed some writing projects for over a year because of the emotional baggage,Yes
